Date,btc_tweets,btc_activeaddresses,btc_mining_profitability,btc_transactionfees,btc_median_transaction_fee,btc_mediantransactionvalue,sub_growth_%chg,btc_gtrends,buybitcoin_gtrends,ETH_gtrends,crypto_gtrends
2018-07-07,32273,394186,0.306,0.644,0.0896,306.296,0.0007431130202990577,8.350848404582658,0.04299304987771067,0.5751594280426927,1.2165902735521454
2018-07-08,31005,392740,0.33,0.68,0.0872,337.683,0.0007425612133928894,8.828039741987382,0.04299304987771067,0.8627391420640391,1.4599083282625744
2018-07-09,37804,521148,0.294,0.651,0.108,400.114,0.0007420102253796745,9.782422416796829,0.04299304987771067,0.8627391420640391,1.7032263829730037
2018-07-10,39826,560008,0.313,0.69,0.11,417.85,0.0007414600544375372,10.498209422903914,0.04299304987771067,1.1503188560853854,1.9465444376834324
2018-07-11,39901,497821,0.285,0.646,0.116,404.719,0.0007409106987505965,9.305231079392106,0.04299304987771067,0.8627391420640391,1.7032263829730037
2018-07-12,39007,608847,0.304,0.573,0.116,344.017,0.0007403621565078566,10.259613754201553,0.04299304987771067,1.1503188560853854,1.7032263829730037
2018-07-13,37794,678537,0.29,0.588,0.113,358.185,0.0007398144259040951,10.02101808549919,0.04299304987771067,0.8627391420640391,1.4599083282625744
2018-07-14,30839,562124,0.298,0.532,0.0949,299.523,0.0007392675051391961,8.58944407328502,0.04299304987771067,0.5751594280426927,1.4599083282625744
2018-07-15,32485,409465,0.298,0.602,0.117,361.183,0.0007387213924183733,8.112252735880297,0.04299304987771067,0.5751594280426927,1.7032263829730037
2018-07-16,41799,483120,0.282,0.743,0.141,435.653,0.0007381760859521691,10.259613754201553,0.04299304987771067,1.1503188560853854,1.9465444376834324
2018-07-17,45432,551908,0.392,0.735,0.139,420.032,0.0007376315839566772,13.361357447332255,0.04299304987771067,1.1503188560853854,2.1898624923938614
2018-07-18,42923,642136,0.38,0.989,0.228,415.113,0.0007370878846528761,14.792931459546425,0.04299304987771067,1.4378985701067317,2.433180547104291
2018-07-19,39629,540081,0.362,0.949,0.192,371.508,0.0007365449862670737,12.406974772522808,0.04299304987771067,0.8627391420640391,1.9465444376834324
2018-07-20,38529,517442,0.333,0.761,0.166,416.373,0.0007360028870306845,11.452592097713362,0.04299304987771067,0.8627391420640391,2.1898624923938614
2018-07-21,33267,415309,0.324,0.692,0.127,341.261,0.0007354615851806745,10.02101808549919,0.04299304987771067,0.8627391420640391,1.4599083282625744
2018-07-22,32189,384041,0.437,0.66,0.102,314.759,0.0007349210789588945,9.543826748094466,0.04299304987771067,0.8627391420640391,1.4599083282625744
2018-07-23,39877,584758,0.356,0.875,0.154,400.337,0.0007343813666127463,12.645570441225171,0.04299304987771067,1.1503188560853854,1.7032263829730037
2018-07-24,48202,578233,0.38,0.923,0.156,454.029,0.0007338424463940729,15.50871846565351,0.04299304987771067,1.1503188560853854,1.9465444376834324
2018-07-25,41673,644234,0.437,0.889,0.166,402.597,0.0007333043165602682,14.554335790844066,0.04299304987771067,0.8627391420640391,1.9465444376834324
2018-07-26,39978,510977,0.383,0.846,0.133,396.228,0.0007327669753742772,12.884166109927532,0.04299304987771067,0.8627391420640391,1.9465444376834324
2018-07-27,37373,604287,0.418,0.725,0.0955,389.042,0.0007322304211032638,12.884166109927532,0.04299304987771067,0.8627391420640391,1.7032263829730037
2018-07-28,31763,462708,0.363,0.728,0.11,324.582,0.000731694652020165,10.259613754201553,0.04299304987771067,0.8627391420640391,1.4599083282625744
2018-07-29,32179,403083,0.367,0.764,0.101,312.776,0.000731159666402581,9.782422416796829,0.04299304987771067,0.8627391420640391,1.4599083282625744
2018-07-30,37855,525741,0.347,0.867,0.144,410.598,0.0007306254625329967,11.213996429010999,0.04299304987771067,0.8627391420640391,1.9465444376834324
2018-07-31,38962,549499,0.343,0.835,0.149,400.315,0.0007300920386996701,11.452592097713362,0.04299304987771067,0.8627391420640391,1.9465444376834324
2018-08-01,39603,574951,0.321,0.67,0.139,424.312,0.0007295593931948563,11.213996429010999,0.04299304987771067,0.8627391420640391,1.9465444376834324
2018-08-02,37572,535229,0.324,0.852,0.141,381.32,0.0007290275243165834,10.736805091606275,0.04299304987771067,0.8627391420640391,1.7032263829730037
2018-08-03,39186,585312,0.328,0.748,0.142,376.315,0.0007284964303675423,11.213996429010999,0.04299304987771067,0.8627391420640391,1.7032263829730037
2018-08-04,33342,456131,0.319,0.652,0.0985,326.488,0.0007279661096550871,10.498209422903914,0.04299304987771067,0.8627391420640391,1.4599083282625744
2018-08-05,30523,397829,0.284,0.555,0.0792,317.837,0.0007274365604921229,9.543826748094466,0.04299304987771067,0.8627391420640391,1.4599083282625744
2018-08-06,35064,517813,0.27,0.569,0.105,356.118,0.0007269077811959956,11.084431251885318,0.04342732310879867,0.7665981233003044,1.7587235065238571
2018-08-07,34996,589346,0.327,0.559,0.0958,385.798,0.0007263797700891583,11.519114830390626,0.04342732310879867,1.0221308310670725,1.978563944839339
2018-08-08,36169,532064,0.276,0.569,0.0986,415.181,0.0007258525254985049,13.909874512169813,0.04342732310879867,1.2776635388338407,2.4182448214703034
2018-08-09,34503,519217,0.265,0.598,0.143,358.502,0.0007253260457564803,12.171140198148585,0.04342732310879867,1.0221308310670725,1.7587235065238571
2018-08-10,34108,559603,0.298,0.579,0.1,373.752,0.0007248003291995264,11.736456619643278,0.04342732310879867,1.0221308310670725,1.7587235065238571
2018-08-11,29578,449075,0.238,0.496,0.0695,366.976,0.0007242753741700803,11.301773041137972,0.04342732310879867,1.0221308310670725,1.978563944839339
2018-08-12,28188,399762,0.237,0.489,0.0556,286.703,0.0007237511790139095,9.780380516369398,0.04342732310879867,0.7665981233003044,1.538883068208375
2018-08-13,31628,490801,0.259,0.57,0.101,354.354,0.0007232277420829991,11.736456619643278,0.04342732310879867,1.2776635388338407,1.978563944839339
2018-08-14,36996,535762,0.227,0.648,0.139,402.309,0.0007227050617331088,14.127216301422466,0.04342732310879867,1.2776635388338407,2.8579256981012677
2018-08-15,35084,475594,0.271,0.575,0.114,344.897,0.0007221831363248832,13.040507355159198,0.04342732310879867,1.0221308310670725,1.978563944839339
2018-08-16,33037,547322,0.253,0.658,0.14,331.915,0.0007216619642242961,11.301773041137972,0.04342732310879867,1.0221308310670725,1.7587235065238571
2018-08-17,32168,584759,0.254,0.69,0.111,344.056,0.000721141543801096,10.432405884127359,0.04342732310879867,1.0221308310670725,1.7587235065238571
2018-08-18,27953,459134,0.256,0.557,0.0884,289.779,0.0007206218734308045,9.780380516369398,0.04342732310879867,0.7665981233003044,1.538883068208375
2018-08-19,26854,408184,0.24,0.653,0.058,255.769,0.0007201029514929402,9.345696937864092,0.04342732310879867,0.7665981233003044,1.538883068208375
2018-08-20,33467,524775,0.265,0.874,0.167,306.794,0.0007195847763716845,10.215064094874705,0.04342732310879867,1.0221308310670725,1.978563944839339
2018-08-21,33425,534176,0.249,0.729,0.174,325.142,0.0007190673464558817,10.867089462632666,0.04342732310879867,1.0221308310670725,1.978563944839339
2018-08-22,32026,574028,0.275,0.695,0.151,326.252,0.0007185506601394831,11.301773041137972,0.04342732310879867,1.0221308310670725,1.7587235065238571
2018-08-23,33815,501871,0.246,0.573,0.127,299.657,0.000718034715820437,10.649747673380013,0.04342732310879867,1.0221308310670725,1.7587235065238571
2018-08-24,29804,577153,0.258,0.572,0.112,314.085,0.0007175195119015765,9.780380516369398,0.04342732310879867,1.0221308310670725,1.538883068208375
2018-08-25,26122,478783,0.236,0.722,0.0761,281.916,0.0007170050467903977,8.693671570106131,0.04342732310879867,0.7665981233003044,1.319042629892893
2018-08-26,23840,430511,0.277,1.078,0.0598,243.615,0.0007164913188988375,8.911013359358785,0.04342732310879867,0.7665981233003044,1.538883068208375
2018-08-27,28754,595664,0.274,0.984,0.0694,316.54,0.000715978326643274,9.780380516369398,0.04342732310879867,1.0221308310670725,1.7587235065238571
2018-08-28,33359,597839,0.241,1.33,0.21,363.979,0.0007154660684447478,11.953798408895931,0.04342732310879867,1.0221308310670725,1.978563944839339
2018-08-29,31756,588294,0.255,0.704,0.168,322.116,0.0007149545427289627,10.649747673380013,0.04342732310879867,1.0221308310670725,1.7587235065238571
2018-08-30,31447,540618,0.265,0.724,0.178,356.407,0.0007144437479258414,10.867089462632666,0.04342732310879867,1.0221308310670725,1.7587235065238571
